"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","STINT","TOT","PC_PA","A","2018",1.790603,
"CAN","STINT","TOT","PC_PA","A","2019",1.890311,
"CAN","STINT","TOT","PC_PA","A","2020",0.6352521,
"CAN","STINT","TOT","PC_PA","A","2021",0.2092651,
"FRA","STINT","TOT","PC_PA","A","1970",8.925,
"FRA","STINT","TOT","PC_PA","A","1971",6.286667,
"FRA","STINT","TOT","PC_PA","A","1972",5.506667,
"FRA","STINT","TOT","PC_PA","A","1973",9.129167,
"FRA","STINT","TOT","PC_PA","A","1974",13.01917,
"FRA","STINT","TOT","PC_PA","A","1975",7.923333,
"FRA","STINT","TOT","PC_PA","A","1976",8.69,
"FRA","STINT","TOT","PC_PA","A","1977",9.215834,
"FRA","STINT","TOT","PC_PA","A","1978",8.156667,
"FRA","STINT","TOT","PC_PA","A","1979",9.483334,
"FRA","STINT","TOT","PC_PA","A","1980",12.20917,
"FRA","STINT","TOT","PC_PA","A","1981",15.25917,
"FRA","STINT","TOT","PC_PA","A","1982",14.61583,
"FRA","STINT","TOT","PC_PA","A","1983",12.4675,
"FRA","STINT","TOT","PC_PA","A","1984",11.7025,
"FRA","STINT","TOT","PC_PA","A","1985",9.943334,
"FRA","STINT","TOT","PC_PA","A","1986",7.7095,
"FRA","STINT","TOT","PC_PA","A","1987",8.268942,
"FRA","STINT","TOT","PC_PA","A","1988",7.942167,
"FRA","STINT","TOT","PC_PA","A","1989",9.398808,
"FRA","STINT","TOT","PC_PA","A","1990",10.3214,
"FRA","STINT","TOT","PC_PA","A","1991",9.615025,
"FRA","STINT","TOT","PC_PA","A","1992",10.34462,
"FRA","STINT","TOT","PC_PA","A","1993",8.586859,
"FRA","STINT","TOT","PC_PA","A","1994",5.846675,
"FRA","STINT","TOT","PC_PA","A","1995",6.578183,
"FRA","STINT","TOT","PC_PA","A","1996",3.935625,
"FRA","STINT","TOT","PC_PA","A","1997",3.462833,
"FRA","STINT","TOT","PC_PA","A","1998",3.557108,
"FRA","STINT","TOT","PC_PA","A","1999",2.9635,
"FRA","STINT","TOT","PC_PA","A","2000",4.391767,
"FRA","STINT","TOT","PC_PA","A","2001",4.261783,
"FRA","STINT","TOT","PC_PA","A","2002",3.318592,
"FRA","STINT","TOT","PC_PA","A","2003",2.333467,
"FRA","STINT","TOT","PC_PA","A","2004",2.106325,
"FRA","STINT","TOT","PC_PA","A","2005",2.184675,
"FRA","STINT","TOT","PC_PA","A","2006",3.079225,
"FRA","STINT","TOT","PC_PA","A","2007",4.277608,
"FRA","STINT","TOT","PC_PA","A","2008",4.634233,
"FRA","STINT","TOT","PC_PA","A","2009",1.228358,
"FRA","STINT","TOT","PC_PA","A","2010",0.81095,
"FRA","STINT","TOT","PC_PA","A","2011",1.3906,
"FRA","STINT","TOT","PC_PA","A","2012",0.5731834,
"FRA","STINT","TOT","PC_PA","A","2013",0.2206667,
"FRA","STINT","TOT","PC_PA","A","2014",0.2099333,
"FRA","STINT","TOT","PC_PA","A","2015",-0.01936667,
"FRA","STINT","TOT","PC_PA","A","2016",-0.2636917,
"FRA","STINT","TOT","PC_PA","A","2017",-0.32905,
"FRA","STINT","TOT","PC_PA","A","2018",-0.3220917,
"FRA","STINT","TOT","PC_PA","A","2019",-0.3563333,
"FRA","STINT","TOT","PC_PA","A","2020",-0.42515,
"FRA","STINT","TOT","PC_PA","A","2021",-0.5487667,
"USA","STINT","TOT","PC_PA","A","1970",7.564167,
"USA","STINT","TOT","PC_PA","A","1971",5.005,
"USA","STINT","TOT","PC_PA","A","1972",4.665833,
"USA","STINT","TOT","PC_PA","A","1973",8.415833,
"USA","STINT","TOT","PC_PA","A","1974",10.24417,
"USA","STINT","TOT","PC_PA","A","1975",6.436666,
"USA","STINT","TOT","PC_PA","A","1976",5.268333,
"USA","STINT","TOT","PC_PA","A","1977",5.640833,
"USA","STINT","TOT","PC_PA","A","1978",8.221666,
"USA","STINT","TOT","PC_PA","A","1979",11.225,
"USA","STINT","TOT","PC_PA","A","1980",13.06667,
"USA","STINT","TOT","PC_PA","A","1981",15.91083,
"USA","STINT","TOT","PC_PA","A","1982",12.27083,
"USA","STINT","TOT","PC_PA","A","1983",9.066667,
"USA","STINT","TOT","PC_PA","A","1984",10.365,
